Location,Year,Calculated_Population,Renewable_Share,Energy_Generation,Tourism_Aggregated_Arrivals,Log_Population,Log_Energy,Log_Tourism,Tourism_Per_Capita,Energy_Per_Capita,Total_Human_Load,Log_Human_Load,Log_Energy_Per_Capita,Cluster
Niue,2004,1621,0.79,3.0,2600,3.209783014848515,0.4771212547196624,3.4149733479708178,1.6039481801357187,0.0018507094386181,4221,3.625415352154408,-2.7326617601288525,0
Niue,2005,1588,0.83,3.0,2800,3.2008504980910777,0.4771212547196624,3.4471580313422194,1.7632241813602014,0.001889168765743,4388,3.642266618902673,-2.723729243371415,0
Niue,2006,1565,0.79,3.0,3000,3.194514341882467,0.4771212547196624,3.4771212547196626,1.9169329073482428,0.0019169329073482,4565,3.659440781870318,-2.717393087162805,0
Niue,2007,1551,0.96,3.0,3500,3.190611797813605,0.4771212547196624,3.544068044350276,2.256608639587363,0.0019342359767891,5051,3.7033773685123497,-2.7134905430939424,0
Niue,2008,1545,0.57,3.0,4700,3.1889284837608534,0.4771212547196624,3.6720978579357175,3.042071197411003,0.0019417475728155,6245,3.7955324427101536,-2.711807229041191,0
Niue,2009,1543,0.87,3.1,4700,3.188365926063148,0.4913616938342727,3.6720978579357175,3.04601425793908,0.0020090732339598,6243,3.7953933349312896,-2.6970042322288754,0
Niue,2010,1535,1.38,3.1,6200,3.1861083798132053,0.4913616938342727,3.792391689498254,4.039087947882736,0.0020195439739413,7735,3.8884603180353854,-2.6947466859789326,0
Niue,2011,1525,1.27,3.3,6100,3.1832698436828046,0.5185139398778874,3.785329835010767,4.0,0.0021639344262295,7625,3.882239848018824,-2.664755903804917,0
Niue,2012,1525,1.19,3.3,5000,3.1832698436828046,0.5185139398778874,3.6989700043360183,3.278688524590164,0.0021639344262295,6525,3.814580516010319,-2.664755903804917,0
Niue,2013,1528,1.17,3.4,7000,3.184123354239671,0.5314789170422551,3.845098040014257,4.5811518324607325,0.0022251308900523,8528,3.930847191682497,-2.652644437197416,4
Niue,2014,1537,1.16,3.2,7400,3.186673867499745,0.505149978319906,3.869231719730976,4.814573845152895,0.002081977878985,8937,3.951191757934706,-2.6815238891798394,4
Niue,2015,1548,1.11,3.4,7700,3.189770956346874,0.5314789170422551,3.886490725172482,4.974160206718346,0.0021963824289405,9248,3.966047821076454,-2.6582920393046185,4
Niue,2016,1546,1.05,3.4,8900,3.189209489582306,0.5314789170422551,3.949390006644913,5.756791720569211,0.0021992238033635,10446,4.018950021500975,-2.657730572540051,4
Niue,2017,1548,1.07,3.4,11600,3.189770956346874,0.5314789170422551,4.064457989226918,7.493540051679586,0.0021963824289405,13148,4.118859695409586,-2.6582920393046185,4
Niue,2018,1553,3.02,3.4,10500,3.191171455728558,0.5314789170422551,4.021189299069938,6.7611075338055375,0.0021893110109465,12053,4.08109515656134,-2.6596925386863037,4
Niue,2019,1557,3.01,3.4,10200,3.19228861256812,0.5314789170422551,4.008600171761918,6.551059730250482,0.0021836865767501,11757,4.070296518197765,-2.6608096955258653,4
Niue,2020,1562,3.08,3.4,1300,3.1936810295412816,0.5314789170422551,3.113943352306837,0.8322663252240717,0.0021766965428937,2862,3.4566696294237573,-2.6622021124990267,0
Palau,2000,19321,0.0,100.9,58000,4.28602960050819,2.0038911662369103,4.763427993562937,3.0019150147507894,0.0052222969825578,77321,4.888297462165537,-2.28213843427128,0
Palau,2001,19493,0.0,103.4,54000,4.289878682790416,2.014520538757924,4.732393759822968,2.770225209049402,0.0053044682706612,73493,4.866245975735252,-2.275358144032493,0
Palau,2002,19647,0.0,102.7,59000,4.293296245148464,2.0115704435972783,4.770852011642144,3.003003003003003,0.0052272611594645,78647,4.895682161056003,-2.2817258015511857,0
Palau,2003,19802,0.0,104.1,63000,4.296709056175604,2.017450729510536,4.799340549453582,3.1814968185031813,0.0052570447429552,82802,4.9180408268630655,-2.279258326665067,0
Palau,2004,19965,0.0,107.7,89000,4.3002693145303565,2.032215703297981,4.949390006644912,4.457801152016028,0.0053944402704733,108965,5.037287023190116,-2.2680536112323746,4
Palau,2005,19963,0.0,112.0,81000,4.300225806768157,2.049218022670181,4.9084850188786495,4.057506386815609,0.0056103792015228,100963,5.004162246655295,-2.2510077840979763,4
Palau,2006,19737,0.0,101.5,82000,4.295281141116848,2.006466042249232,4.913813852383717,4.1546334295992295,0.0051426255256624,101737,5.007478927096642,-2.288815098867616,4
Palau,2007,19447,0.0,106.0,88000,4.288852614199747,2.0253058652647704,4.944482672150168,4.525119555715534,0.0054507121921118,107447,5.03119429417242,-2.263546748934977,4
Palau,2008,19146,0.0,97.4,81000,4.282078054577154,1.9885589568786155,4.9084850188786495,4.230648699467252,0.0050872244855322,100146,5.000633607522555,-2.2935190976985385,4
Palau,2009,18857,0.0,88.9,71000,4.275472601069419,1.9489017609702135,4.851258348719076,3.7651800392427215,0.0047144296547701,89857,4.953551914978187,-2.326570840099205,4
Palau,2010,18538,0.0,92.6,85000,4.268062877822684,1.9666109866819343,4.929418925714293,4.585176394433057,0.004995145107347,103538,5.015099771643009,-2.3014518911407493,4
Palau,2011,18215,0.0,90.8,111000,4.260429175577935,1.958085848521085,5.045322978786658,6.09387867142465,0.004984902552841,129215,5.111312931918345,-2.3023433270568496,4
Palau,2012,17902,0.0,76.8,120000,4.252901552792346,1.885361220031512,5.079181246047625,6.703161657915317,0.0042900234610658,137902,5.139570564817367,-2.367540332760833,4
Palau,2013,17775,0.0,79.3,108000,4.249809609401804,1.899273187317604,5.033423755486949,6.075949367088608,0.0044613220815752,125775,5.099594325997786,-2.3505364220842,4
Palau,2014,17848,0.27,82.5,140000,4.251589557275781,1.916453948549925,5.146128035678238,7.844016136261766,0.0046223666517256,157848,5.198239083570862,-2.335135608725856,4
Palau,2015,17909,0.37,82.5,162000,4.253071336457255,1.916453948549925,5.209515014542631,9.04573119660506,0.0046066223686414,179909,5.255052889596635,-2.33661738790733,4
Palau,2016,17926,0.57,86.9,138000,4.253483392087015,1.9390197764486663,5.139879086401237,7.698315296217784,0.0048477072408791,155926,5.1929185379923,-2.314463615638348,4
Palau,2017,17950,0.56,84.2,123000,4.254064452914338,1.925312091499649,5.089905111439398,6.852367688022284,0.0046908077994428,140950,5.149065080207621,-2.328752361414689,4
Palau,2018,17948,0.59,93.4,106000,4.254016060861036,1.9703468762300933,5.02530586526477,5.905950523735235,0.0052039224426119,123948,5.0932395234719605,-2.283669184630943,4
Palau,2019,17926,0.56,100.0,94000,4.253483392087015,2.0,4.973127853599698,5.24377998438023,0.0055784893450853,111926,5.0489309832658185,-2.2534833920870145,4
Palau,2020,17930,0.58,99.7,18400,4.253580289562183,1.998695158311656,4.264817823009537,1.026213050752928,0.0055605131065253,36330,4.560265397862715,-2.254885131250527,0
Papua New Guinea,2000,5039731,66.38,2392.1,58000,6.702407356220644,3.3787793310606915,4.763427993562937,0.0115085507539985,0.0004746483492868,5097731,6.70737691463699,-3.323628025159953,1
Papua New Guinea,2001,5214106,63.44,2273.0,54000,6.717179855897738,3.356599435724971,4.732393759822968,0.0103565213288721,0.0004359328329727,5268106,6.721654504853136,-3.360580420172768,1
Papua New Guinea,2002,5391907,62.49,2269.9,54000,6.731742392849382,3.3560067248562,4.732393759822968,0.010015009531878,0.0004209827803038,5445907,6.736070220600773,-3.3757356679931823,1
Papua New Guinea,2003,5574154,60.52,2257.7,56000,6.746178963018535,3.3536662329829023,4.748188027006201,0.010046367574344,0.0004050300727249,5630154,6.750520274147174,-3.392512730035632,1
Papua New Guinea,2004,5759773,57.6,2248.7,59000,6.760405367661051,3.3519315198931263,4.770852011642144,0.010243459247439,0.0003904146916901,5818773,6.764831414974757,-3.408473847767925,1
Papua New Guinea,2005,5948693,58.56,2370.2,69000,6.7744215564445,3.374784993787173,4.838849090737256,0.011599186577623,0.000398440464149,6017693,6.779430027902759,-3.399636562657326,1
Papua New Guinea,2006,6141431,58.86,2625.5,78000,6.788269576840474,3.419212022623076,4.892094602690481,0.012700623030691,0.000427506227783,6219431,6.793750654005327,-3.369057554217398,1
Papua New Guinea,2007,6337957,56.92,2683.5,104000,6.801949288384407,3.428701599623054,5.017033339298781,0.016409073144548,0.0004234014209941,6441957,6.809017821581927,-3.373247688761352,1
Papua New Guinea,2008,6537603,56.85,2807.3,120000,6.815418544243094,3.4482888256671216,5.079181246047625,0.0183553513420744,0.0004294081485217,6657603,6.823317894147495,-3.3671297185759723,1
Papua New Guinea,2009,6740922,55.99,3262.9,126000,6.828719301895419,3.513603763915461,5.1003705451175625,0.0186918050676153,0.0004840435774216,6866922,6.836762114357657,-3.315115537979958,1
Papua New Guinea,2010,6947868,55.19,3265.7,146000,6.841851558851605,3.513976286239968,5.164352855784437,0.0210136404433705,0.000470029079424,7093868,6.850883103024426,-3.3278752726116374,1
Papua New Guinea,2011,7153525,54.63,3389.1,165000,6.854520099256106,3.530084383475166,5.217483944213907,0.0230655515986873,0.000473766429837,7318525,6.8644235607156014,-3.324435715780941,1
Papua New Guinea,2012,7355970,55.29,3429.9,175000,6.866639949377754,3.535281458211492,5.243038048686294,0.0237902003406756,0.000466274332277,7530970,6.876850917570749,-3.3313584911662626,1
Papua New Guinea,2013,7557524,56.38,3508.3,182000,6.87837953501638,3.5450967234550737,5.260071387985075,0.0240819612349229,0.0004642128824202,7739524,6.888714251312055,-3.3332828115613062,1
Papua New Guinea,2014,7758554,54.91,3288.1,191000,6.889780787194016,3.5169450171368024,5.281033367247727,0.0246179893830731,0.0004238031983794,7949554,6.900342763779445,-3.372835770057214,1
Papua New Guinea,2015,7958724,53.28,3003.6,199000,6.900843444096968,3.477642095655848,5.298853076409706,0.0250040081802057,0.0003773971807541,8157724,6.911569007759124,-3.42320134844112,1
Papua New Guinea,2016,8157692,52.72,2985.8,198000,6.911567304165,3.475060713702007,5.296665190261531,0.0242715709296207,0.000366010386271,8355692,6.921982423030899,-3.436506590462993,1
Papua New Guinea,2017,8355109,52.52,2827.4,182000,6.921952120033089,3.4513872536625003,5.260071387985075,0.0217830790717392,0.0003384037239968,8537109,6.931310826437056,-3.470564866370589,1
Papua New Guinea,2018,8551454,51.19,3127.7,195000,6.932039963908273,3.4952250901062207,5.290034611362518,0.0228031396765976,0.0003657506664948,8746454,6.941832016408961,-3.436814873802052,1
Papua New Guinea,2019,8746427,51.09,2727.2,211000,6.941830675754896,3.4357169882208347,5.324282455297693,0.0241241366331646,0.0003118073242936,8957427,6.9521832774994525,-3.5061136875340617,1
Papua New Guinea,2020,8934475,51.39,2862.2,39000,6.951069037949467,3.4566999773837925,4.5910646070265,0.0043651137867641,0.0003203545815506,8973475,6.952960657210354,-3.494369060565674,1
Samoa,2000,17030,59.69,88.2,88000,4.231214647962601,1.94546858513182,4.944482672150168,5.167351732237228,0.0051790957134468,105030,5.021313365484695,-2.285746062830781,5
Samoa,2001,17169,52.41,99.3,88000,4.234745000628052,1.9969492484953808,4.944482672150168,5.125516920030287,0.0057836798881705,105169,5.0218877444473335,-2.23779575213267,5
Samoa,2002,17291,49.58,104.6,89000,4.237820110794065,2.0195316845312554,4.949390006644912,5.147186397547857,0.0060493898559944,106291,5.02649649297286,-2.2182884262628098,5
Samoa,2003,17383,52.41,106.7,92000,4.240124730168566,2.0281644194244697,4.963787827345556,5.292527181729276,0.0061381809814186,109383,5.0389498304079625,-2.211960310744096,5
Samoa,2004,17459,48.82,109.1,98000,4.242019364975552,2.037824750588342,4.991226075692495,5.613150810470245,0.0062489260553296,115459,5.06242779171828,-2.20419461438721,5
Samoa,2005,17527,48.89,113.3,102000,4.243707586661791,2.0542299098633974,5.008600171761918,5.819592628516004,0.006464312204028,119527,5.077466019313628,-2.189477676798393,5
Samoa,2006,17596,45.96,112.5,116000,4.245413953304825,2.051152522447381,5.064457989226918,6.592407365310298,0.0063934985223914,133596,5.12579345511607,-2.194261430857444,5
Samoa,2007,17692,43.18,119.6,122000,4.247776930697566,2.077731179652392,5.086359830674748,6.895772100384354,0.006760117567262,139692,5.145171535281401,-2.170045751045174,5
Samoa,2008,17820,45.0,109.9,122000,4.250907699700856,2.0409976924234905,5.086359830674748,6.846240179573513,0.0061672278338945,139820,5.145569297792989,-2.209910007277365,5
