Cluster,Year,Renewable_Share_mean,Renewable_Share_median,Energy_Generation_mean,Energy_Generation_median,Tourism_Aggregated_Arrivals_mean,Tourism_Aggregated_Arrivals_median,Calculated_Population_mean,Calculated_Population_median,Total_Human_Load_mean,Total_Human_Load_median,Tourist_Spatial_Density_mean,Tourist_Spatial_Density_median,Energy_Density_MWh_KM2_mean,Energy_Density_MWh_KM2_median
3,2010,4.165,4.165,379.3,379.3,122000.0,122000.0,185861.0,185861.0,307861.0,307861.0,68.71421912645197,68.71421912645197,128.52327604020323,128.52327604020323
3,2011,3.96,3.96,362.9,362.9,132200.0,132200.0,186510.0,186510.0,318710.0,318710.0,73.30627024674932,73.30627024674932,124.86130441453389,124.86130441453389
3,2012,3.87,3.87,365.1,365.1,133600.0,133600.0,187138.0,187138.0,320738.0,320738.0,67.32505842835116,67.32505842835116,125.49283717431638,125.49283717431638
3,2013,4.015000000000001,4.015000000000001,358.15000000000003,358.15000000000003,136850.0,136850.0,187774.0,187774.0,324624.0,324624.0,69.59103616344122,69.59103616344122,124.30016264820283,124.30016264820283
3,2014,4.565,4.565,361.29999999999995,361.29999999999995,147400.0,147400.0,188380.0,188380.0,335780.0,335780.0,75.8046311916468,75.8046311916468,125.74663105388966,125.74663105388966
3,2015,4.915,4.915,363.5,363.5,155800.0,155800.0,188879.0,188879.0,344679.0,344679.0,81.85311806772623,81.85311806772623,127.85158233049401,127.85158233049401
3,2016,4.89,4.89,375.8,375.8,163800.0,163800.0,189261.0,189261.0,353061.0,353061.0,91.8773203243926,91.8773203243926,134.23910488458466,134.23910488458466
3,2017,4.905,4.905,376.25,376.25,170300.0,170300.0,189627.5,189627.5,359927.5,359927.5,93.57577864683839,93.57577864683839,135.9434488634852,135.9434488634852
3,2018,4.7,4.7,379.59999999999997,379.59999999999997,168600.0,168600.0,189591.5,189591.5,358191.5,358191.5,87.86126177541283,87.86126177541283,138.1788867836582,138.1788867836582
3,2019,4.665,4.665,383.05,383.05,188100.0,188100.0,189245.5,189245.5,377345.5,377345.5,102.42051721618289,102.42051721618289,141.23383403323447,141.23383403323447
4,2000,9.28,9.28,24.8,24.8,73000.0,73000.0,15482.0,15482.0,88482.0,88482.0,309.3220338983051,309.3220338983051,105.08474576271186,105.08474576271186
4,2001,9.9,9.9,25.9,25.9,75000.0,75000.0,14883.0,14883.0,89883.0,89883.0,317.79661016949154,317.79661016949154,109.7457627118644,109.7457627118644
4,2002,12.25,12.25,27.8,27.8,73000.0,73000.0,14625.0,14625.0,87625.0,87625.0,309.3220338983051,309.3220338983051,117.79661016949153,117.79661016949153
4,2003,11.07,11.07,29.2,29.2,78000.0,78000.0,14680.0,14680.0,92680.0,92680.0,330.50847457627117,330.50847457627117,123.72881355932203,123.72881355932203
4,2004,5.2,5.2,68.75,68.75,86000.0,86000.0,17347.0,17347.0,103347.0,103347.0,272.79734869465676,272.79734869465676,180.4558546582475,180.4558546582475
4,2005,4.71,4.71,71.2,71.2,84500.0,84500.0,17372.0,17372.0,101872.0,101872.0,274.6759720837488,274.6759720837488,186.4111369594919,186.4111369594919
4,2006,4.21,4.21,66.85,66.85,87000.0,87000.0,17296.0,17296.0,104296.0,104296.0,284.2398729736716,284.2398729736716,178.78678778479377,178.78678778479377
4,2007,4.355,4.355,69.9,69.9,92500.0,92500.0,17293.0,17293.0,109793.0,109793.0,301.36904102507293,301.36904102507293,187.07857907758208,187.07857907758208
4,2008,4.21,4.21,65.5,65.5,88000.0,88000.0,17375.5,17375.5,105375.5,105375.5,289.50648055832505,289.50648055832505,177.28665854288985,177.28665854288985
4,2009,4.505,4.505,60.800000000000004,60.800000000000004,86000.0,86000.0,17475.0,17475.0,103475.0,103475.0,291.3250987777409,291.3250987777409,166.12061962261365,166.12061962261365
4,2010,3.625,3.625,63.199999999999996,63.199999999999996,94500.0,94500.0,17558.0,17558.0,112058.0,112058.0,312.93157564344006,312.93157564344006,172.48162918651454,172.48162918651454
4,2011,3.26,3.26,62.25,62.25,112000.0,112000.0,17629.5,17629.5,129629.5,129629.5,360.3218123407555,360.3218123407555,170.30898046600936,170.30898046600936
4,2012,3.085,3.085,54.9,54.9,121000.0,121000.0,17573.5,17573.5,138573.5,138573.5,389.19353051955244,389.19353051955244,153.57538495624237,153.57538495624237
4,2013,2.4966666666666666,1.17,38.43333333333333,32.6,78666.66666666667,108000.0,12165.333333333334,17193.0,90832.0,125775.0,258.3096863256385,235.2941176470588,107.99313360961749,138.135593220339
4,2014,2.563333333333333,1.16,39.43333333333334,32.6,89800.0,122000.0,12167.333333333334,17117.0,101967.33333333333,139117.0,283.47386141669955,305.0108932461874,110.06061587317818,138.135593220339
4,2015,2.8866666666666667,1.11,39.56666666666666,32.8,98233.33333333333,125000.0,12164.0,17035.0,110397.33333333333,142035.0,304.0725260117085,352.94117647058823,110.59951200529467,138.98305084745763
4,2016,3.1199999999999997,1.05,41.53333333333333,34.3,97633.33333333333,138000.0,12131.666666666666,16923.0,109765.0,155926.0,317.8428105995404,300.65359477124184,115.91350828805132,145.33898305084745
4,2017,3.2100000000000004,1.07,41.4,36.6,98533.33333333333,123000.0,12048.333333333334,16647.0,110581.66666666667,140950.0,331.59754355168116,267.9738562091503,117.2013115449473,155.08474576271186
4,2018,4.333333333333333,3.02,46.26666666666667,42.0,95166.66666666667,106000.0,11900.666666666666,16201.0,107067.33333333333,123948.0,329.14104315732766,230.9368191721133,131.50962118393159,177.96610169491527
4,2019,4.196666666666666,3.01,47.5,39.1,92066.66666666667,94000.0,11745.666666666666,15754.0,103812.33333333333,111926.0,324.2791189584144,204.79302832244008,132.20660430863157,165.67796610169492
5,2000,59.69,59.69,88.2,88.2,88000.0,88000.0,17030.0,17030.0,105030.0,105030.0,31.08442246555987,31.08442246555987,31.155068880254326,31.155068880254326
5,2001,52.41,52.41,99.3,99.3,88000.0,88000.0,17169.0,17169.0,105169.0,105169.0,31.08442246555987,31.08442246555987,35.07594489579654,35.07594489579654
5,2002,49.58,49.58,104.6,104.6,89000.0,89000.0,17291.0,17291.0,106291.0,106291.0,31.437654539032145,31.437654539032145,36.948074885199574,36.948074885199574
5,2003,52.41,52.41,106.7,106.7,92000.0,92000.0,17383.0,17383.0,109383.0,109383.0,32.497350759448956,32.497350759448956,37.68986223949135,37.68986223949135
